SampleID	ReadID	Read_length	Quality_score
S1_1_2011_04_27_1	G1OLV2J01EXWZX	205	36

S1_1_2011_04_27_1	G1OLV2J01EXWZX	205	36

S1_1_2011_04_27_1	G1OLV2J01ECGJY	327	29

S1_1_2011_04_27_1	G1OLV2J01ECGJY	327	29

S1_1_2011_04_27_1	G1OLV2J01BVL9S	323	39

S1_1_2011_04_27_1	G1OLV2J01BVL9S	323	39

S1_1_2011_04_27_1	G1OLV2J01C9HB9	512	36

S1_1_2011_04_27_1	G1OLV2J01C9HB9	512	36

S1_1_2011_04_27_1	G1OLV2J01A5DLA	490	34

S1_1_2011_04_27_1	G1OLV2J01A5DLA	490	34

S1_1_2011_04_27_1	G1OLV2J01EHBA9	263	38

S1_1_2011_04_27_1	G1OLV2J01EHBA9	263	38

S1_1_2011_04_27_1	G1OLV2J01DKS1D	504	35

S1_1_2011_04_27_1	G1OLV2J01DKS1D	504	35

S1_1_2011_04_27_1	G1OLV2J01EFCWV	530	34

S1_1_2011_04_27_1	G1OLV2J01EFCWV	530	34

S1_1_2011_04_27_1	G1OLV2J01ATI39	322	37

S1_1_2011_04_27_1	G1OLV2J01ATI39	322	37

S1_1_2011_04_27_1	G1OLV2J01CHZ4Z	491	36

S1_1_2011_04_27_1	G1OLV2J01CHZ4Z	491	36

S1_1_2011_04_27_1	G1OLV2J01B8C6T	489	36

S1_1_2011_04_27_1	G1OLV2J01B8C6T	489	36

S1_1_2011_04_27_1	G1OLV2J01DIIUE	475	36

S1_1_2011_04_27_1	G1OLV2J01DIIUE	475	36

S1_1_2011_04_27_1	G1OLV2J01D1RWS	481	36

S1_1_2011_04_27_1	G1OLV2J01D1RWS	481	36

S1_1_2011_04_27_1	G1OLV2J01COUQG	511	35

S1_1_2011_04_27_1	G1OLV2J01COUQG	511	35

S1_1_2011_04_27_1	G1OLV2J01DAPK0	499	37

S1_1_2011_04_27_1	G1OLV2J01DAPK0	499	37

S1_1_2011_04_27_1	G1OLV2J01BKAOR	490	34

S1_1_2011_04_27_1	G1OLV2J01BKAOR	490	34

S1_1_2011_04_27_1	G1OLV2J01CQLSW	500	36

S1_1_2011_04_27_1	G1OLV2J01CQLSW	500	36

S1_1_2011_04_27_1	G1OLV2J01BZXS1	484	36

S1_1_2011_04_27_1	G1OLV2J01BZXS1	484	36

S1_1_2011_04_27_1	G1OLV2J01A5DNS	484	35

S1_1_2011_04_27_1	G1OLV2J01A5DNS	484	35

S1_1_2011_04_27_1	G1OLV2J01CZTOF	487	31

S1_1_2011_04_27_1	G1OLV2J01CZTOF	487	31

S1_1_2011_04_27_1	G1OLV2J01ECJPY	486	35

S1_1_2011_04_27_1	G1OLV2J01ECJPY	486	35

S1_1_2011_04_27_1	G1OLV2J01C5VP9	344	25

S1_1_2011_04_27_1	G1OLV2J01C5VP9	344	25

S1_1_2011_04_27_1	G1OLV2J01AYLET	323	37

S1_1_2011_04_27_1	G1OLV2J01AYLET	323	37

S1_1_2011_04_27_1	G1OLV2J01CI5IZ	526	33

S1_1_2011_04_27_1	G1OLV2J01CI5IZ	526	33

S1_1_2011_04_27_1	G1OLV2J01B40CQ	534	33

S1_1_2011_04_27_1	G1OLV2J01B40CQ	534	33

S1_1_2011_04_27_1	G1OLV2J01D1XDN	483	36

S1_1_2011_04_27_1	G1OLV2J01D1XDN	483	36

S1_1_2011_04_27_1	G1OLV2J01EA818	494	35

S1_1_2011_04_27_1	G1OLV2J01EA818	494	35

S1_1_2011_04_27_1	G1OLV2J01B8VEV	492	36

S1_1_2011_04_27_1	G1OLV2J01B8VEV	492	36

S1_1_2011_04_27_1	G1OLV2J01CFPZN	524	34

S1_1_2011_04_27_1	G1OLV2J01CFPZN	524	34

S1_1_2011_04_27_1	G1OLV2J01CQCGV	482	35

S1_1_2011_04_27_1	G1OLV2J01CQCGV	482	35

S1_1_2011_04_27_1	G1OLV2J01AZ3MI	499	33

S1_1_2011_04_27_1	G1OLV2J01AZ3MI	499	33

S1_1_2011_04_27_1	G1OLV2J01CJFU9	511	33

S1_1_2011_04_27_1	G1OLV2J01CJFU9	511	33

S1_1_2011_04_27_1	G1OLV2J01C4CR7	399	35

S1_1_2011_04_27_1	G1OLV2J01C4CR7	399	35

S1_1_2011_04_27_1	G1OLV2J01BTDUI	223	35

S1_1_2011_04_27_1	G1OLV2J01BTDUI	223	35

S1_1_2011_04_27_1	G1OLV2J01EGCT5	483	35

S1_1_2011_04_27_1	G1OLV2J01EGCT5	483	35

S1_1_2011_04_27_1	G1OLV2J01D0ND1	491	34

S1_1_2011_04_27_1	G1OLV2J01D0ND1	491	34

S1_2_2011_04_28_1	G1OLV2J01DAPK0	499	37

S1_2_2011_04_28_1	G1OLV2J01DAPK0	499	37

S1_2_2011_04_28_1	G1OLV2J01BKAOR	490	34

S1_2_2011_04_28_1	G1OLV2J01BKAOR	490	34

S1_2_2011_04_28_1	G1OLV2J01CQLSW	500	36

S1_2_2011_04_28_1	G1OLV2J01CQLSW	500	36

S1_2_2011_04_28_1	G1OLV2J01BZXS1	484	36

S1_2_2011_04_28_1	G1OLV2J01BZXS1	484	36

S1_2_2011_04_28_1	G1OLV2J01A5DNS	484	35

S1_2_2011_04_28_1	G1OLV2J01A5DNS	484	35

S1_2_2011_04_28_1	G1OLV2J01CZTOF	487	31

S1_2_2011_04_28_1	G1OLV2J01CZTOF	487	31

S1_2_2011_04_28_1	G1OLV2J01ECJPY	486	35

S1_2_2011_04_28_1	G1OLV2J01ECJPY	486	35

S1_2_2011_04_28_1	G1OLV2J01C5VP9	344	25

S1_2_2011_04_28_1	G1OLV2J01C5VP9	344	25

S1_2_2011_04_28_1	G1OLV2J01AYLET	323	37

S1_2_2011_04_28_1	G1OLV2J01AYLET	323	37

S1_2_2011_04_28_1	G1OLV2J01CI5IZ	526	33

S1_2_2011_04_28_1	G1OLV2J01CI5IZ	526	33

S1_2_2011_04_28_1	G1OLV2J01B40CQ	534	33

S1_2_2011_04_28_1	G1OLV2J01B40CQ	534	33

S1_2_2011_04_28_1	G1OLV2J01D1XDN	483	36

S1_2_2011_04_28_1	G1OLV2J01D1XDN	483	36

S1_2_2011_04_28_1	G1OLV2J01EA818	494	35

S1_2_2011_04_28_1	G1OLV2J01EA818	494	35

S1_2_2011_04_28_1	G1OLV2J01B8VEV	492	36

S1_2_2011_04_28_1	G1OLV2J01B8VEV	492	36

S1_2_2011_04_28_1	G1OLV2J01CFPZN	524	34

S1_2_2011_04_28_1	G1OLV2J01CFPZN	524	34

S1_2_2011_04_28_1	G1OLV2J01CQCGV	482	35

S1_2_2011_04_28_1	G1OLV2J01CQCGV	482	35

S1_2_2011_04_28_1	G1OLV2J01AZ3MI	499	33

S1_2_2011_04_28_1	G1OLV2J01AZ3MI	499	33

S1_2_2011_04_28_1	G1OLV2J01CJFU9	511	33

S1_2_2011_04_28_1	G1OLV2J01CJFU9	511	33

S1_2_2011_04_28_1	G1OLV2J01C4CR7	399	35

S1_2_2011_04_28_1	G1OLV2J01C4CR7	399	35

