SampleID	Method-id	ReadID	
S1_1_2011_04_27_1	1	G1OLV2J01EXWZX	
S1_1_2011_04_27_1	1	G1OLV2J01EXWZX	
S1_1_2011_04_27_1	1	G1OLV2J01ECGJY	
S1_1_2011_04_27_1	1	G1OLV2J01ECGJY	
S1_1_2011_04_27_1	1	G1OLV2J01ECGJY	
S1_1_2011_04_27_1	1	G1OLV2J01ECGJY	
S1_1_2011_04_27_1	1	G1OLV2J01ECGJY	
S1_1_2011_04_27_1	1	G1OLV2J01BVL9S	
S1_1_2011_04_27_1	1	G1OLV2J01BVL9S	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01C9HB9	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
S1_1_2011_04_27_1	1	G1OLV2J01A5DLA	
