SampleID	Method-id	Taxa-name	#_of_reads	%_of_total	Avg_Score
S9_2_2011_02_15_2	1	Root	13834	100	1
S9_2_2011_02_15_2	1	Archaea	1	0.01	0.52
S9_2_2011_02_15_2	1	Bacteria	13829	99.96	1
S9_2_2011_02_15_2	1	Spirochaetes	193	1.4	0.97
S9_2_2011_02_15_2	1	TM7	15	0.11	0.91
S9_2_2011_02_15_2	1	Firmicutes	2569	18.57	0.98
S9_2_2011_02_15_2	1	Bacteroidetes	6197	44.8	0.99
S9_2_2011_02_15_2	1	Synergistetes	14	0.1	0.9
S9_2_2011_02_15_2	1	Actinobacteria	961	6.95	0.98
10_D_B02_2010_12_17_2	1	Root	3989	100	1
10_D_B02_2010_12_17_2	1	Bacteria	3989	100	1
10_D_B02_2010_12_17_2	1	Spirochaetes	390	9.78	0.96
10_D_B02_2010_12_17_2	1	TM7	4	0.1	0.9
10_D_B02_2010_12_17_2	1	Proteobacteria	19	0.48	1
10_D_B02_2010_12_17_2	1	Firmicutes	401	10.05	0.98
10_D_B02_2010_12_17_2	1	Bacteroidetes	2502	62.72	1
10_D_B02_2010_12_17_2	1	Chloroflexi	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Actinobacteria	228	5.72	0.98
10_D_B02_2010_12_17_2	1	Tenericutes	6	0.15	0.92
10_D_B02_2010_12_17_2	1	SR1	3	0.08	1
10_D_B02_2010_12_17_2	1	Fusobacteria	325	8.15	0.99
10_D_B02_2010_12_17_2	1	Synergistetes	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Spirochaetes	390	9.78	0.96
10_D_B02_2010_12_17_2	1	Betaproteobacteria	6	0.15	1
10_D_B02_2010_12_17_2	1	Bacteroidia	2451	61.44	0.99
10_D_B02_2010_12_17_2	1	Flavobacteria	10	0.25	0.95
10_D_B02_2010_12_17_2	1	Epsilonproteobacteria	10	0.25	1
10_D_B02_2010_12_17_2	1	Actinobacteria	228	5.72	0.98
10_D_B02_2010_12_17_2	1	Mollicutes	6	0.15	0.92
10_D_B02_2010_12_17_2	1	Sphingobacteria	3	0.08	0.66
10_D_B02_2010_12_17_2	1	Bacilli	2	0.05	1
10_D_B02_2010_12_17_2	1	Erysipelotrichia	7	0.18	1
10_D_B02_2010_12_17_2	1	Anaerolineae	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Fusobacteria	325	8.15	0.99
10_D_B02_2010_12_17_2	1	Clostridia	336	8.42	0.98
10_D_B02_2010_12_17_2	1	Synergistia	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Negativicutes	53	1.33	0.99
10_D_B02_2010_12_17_2	1	Deltaproteobacteria	3	0.08	0.94
10_D_B02_2010_12_17_2	1	Actinobacteridae	152	3.81	0.98
10_D_B02_2010_12_17_2	1	Coriobacteridae	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Micrococcineae	14	0.35	0.67
10_D_B02_2010_12_17_2	1	Coriobacterineae	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Corynebacterineae	10	0.25	0.97
10_D_B02_2010_12_17_2	1	Actinomycineae	116	2.91	0.91
10_D_B02_2010_12_17_2	1	Pseudonocardineae	1	0.03	0.51
10_D_B02_2010_12_17_2	1	Lactobacillales	2	0.05	1
10_D_B02_2010_12_17_2	1	Fusobacteriales	325	8.15	0.99
10_D_B02_2010_12_17_2	1	Flavobacteriales	10	0.25	0.95
10_D_B02_2010_12_17_2	1	Anaerolineales	1	0.03	0.97
10_D_B02_2010_12_17_2	1	Campylobacterales	10	0.25	1
10_D_B02_2010_12_17_2	1	Clostridiales	336	8.42	0.98
10_D_B02_2010_12_17_2	1	Synergistales	85	2.13	0.93
10_D_B02_2010_12_17_2	1	Erysipelotrichales	7	0.18	1
10_D_B02_2010_12_17_2	1	Spirochaetales	390	9.78	0.96
10_D_B02_2010_12_17_2	1	Neisseriales	6	0.15	1
10_D_B02_2010_12_17_2	1	Desulfobacterales	2	0.05	0.99
10_D_B02_2010_12_17_2	1	Mycoplasmatales	5	0.13	1
10_D_B02_2010_12_17_2	1	Selenomonadales	53	1.33	0.99
10_D_B02_2010_12_17_2	1	Sphingobacteriales	3	0.08	0.66
10_D_B02_2010_12_17_2	1	Bacteroidales	2451	61.44	0.99
10_D_B02_2010_12_17_2	1	Coriobacteriales	75	1.88	0.98
10_D_B02_2010_12_17_2	1	Actinomycetales	152	3.81	0.98
10_D_B02_2010_12_17_2	1	Beutenbergiaceae	2	0.05	0.68
10_D_B02_2010_12_17_2	1	Actinomycetaceae	116	2.91	0.91
