taxa_id	name	level	parent_taxa_id
508459 	Cloacibacillus 	genus 	649777
146813 	Dendrosporobacter 	genus 	31977
43994 	Johnsonella 	genus 	186803
303379 	Herminiimonas 	genus 	75682
1016 	Capnocytophaga 	genus 	49546
1730 	Eubacterium 	genus 	186806
85002 	Sphaerobacteraceae 	family 	255728
219686 	Gemmatimonadales 	order 	219685
213481 	Bdellovibrionales 	order 	28221
84162 	Cryptobacterium 	genus 	84107
2159 	Methanobacteriaceae 	family 	2158
574347 	Modicisalibacter 	genus 	28256
72293 	Helicobacteraceae 	family 	213849
946234 	Flavonifractor 	genus 	186813
2755 	Brochothrix 	genus 	186820
893 	Desulfobulbus 	genus 	213121
1239 	Firmicutes 	phylum 	2
1033 	Afipia 	genus 	41294
29547 	Epsilonproteobacteria 	class 	68525
84108 	Slackia 	genus 	84107
508215 	Rothia 	genus 	163724
253255 	Soehngenia 	genus 	543310
32012 	Thiomonas 	genus 	224471
1578 	Lactobacillus 	genus 	33958
59735 	Bergeyella 	genus 	49546
713 	Actinobacillus 	genus 	712
648802 	Rummeliibacillus 	genus 	186818
543311 	Parvimonas 	genus 	543310
538 	Eikenella 	genus 	481
28056 	Micromonosporaceae 	family 	85008
3041 	Chlorophyta 	phylum 	33090
86331 	Mogibacterium 	genus 	543314
517 	Bordetella 	genus 	506
 	Erysipelotrichaceae_incertae_sedis 	 	
237 	Flavobacterium 	genus 	49546
416916 	Aggregatibacter 	genus 	712
570 	Klebsiella 	genus 	543
85019 	Brevibacteriaceae 	family 	85006
219687 	Gemmatimonadaceae 	family 	219686
2070 	Pseudonocardiaceae 	family 	85010
397864 	Barnesiella 	genus 	171551
117747 	Sphingobacteria 	class 	976
68933 	Thermales 	order 	188787
292628 	Anaerolineaceae 	family 	292629
28216 	Betaproteobacteria 	class 	1224
206351 	Neisseriales 	order 	28216
563798 	Cyclobacteriaceae 	family 	768507
194195 	Alysiella 	genus 	481
85008 	Micromonosporineae 	suborder 	2037
44748 	Sporobacter 	genus 	541000
171551 	Porphyromonadaceae 	family 	171549
40840 	Succiniclasticum 	genus 	909930
171552 	Prevotellaceae 	family 	171549
57493 	Kocuria 	genus 	1268
40544 	Sutterella 	genus 	995019
160674 	Raoultella 	genus 	543
1357 	Lactococcus 	genus 	1300
186329 	Acholeplasmatales 	order 	31969
649776 	Synergistales 	order 	649775
906 	Megasphaera 	genus 	31977
118747 	Bulleidia 	genus 	128827
186333 	Anaeroplasmataceae 	family 	186332
2740 	Peptococcus 	genus 	186807
2037 	Actinomycetales 	order 	85003
155493 	Gallibacterium 	genus 	712
481 	Neisseriaceae 	family 	206351
85015 	Nocardioidaceae 	family 	85009
758824 	Bergeriella 	genus 	552934
13687 	Sphingomonas 	genus 	41297
35493 	Streptophyta 	phylum 	33090
228923 	Guggenheimella 	genus 	543313
290731 	Aminiphilus 	genus 	649777
1243 	Leuconostoc 	genus 	81850
213117 	Desulfohalobiaceae 	family 	213115
816 	Bacteroides 	genus 	815
265976 	Serinicoccus 	genus 	85021
45401 	Hyphomicrobiaceae 	family 	356
203133 	Propionimicrobium 	genus 	31957
183924 	Thermoprotei 	class 	28889
1301 	Streptococcus 	genus 	1300
81850 	Leuconostocaceae 	family 	186826
85014 	Glycomycineae 	suborder 	2037
864 	Pectinatus 	genus 	31977
84107 	Coriobacteriaceae 	family 	255727
85023 	Microbacteriaceae 	family 	85006
213121 	Desulfobulbaceae 	family 	213118
76892 	Caulobacteraceae 	family 	204458
1 	root 	no rank 	1
1827 	Rhodococcus 	genus 	85025
31969 	Mollicutes 	class 	544448
201174 	Actinobacteria 	phylum 	2
162289 	Peptoniphilus 	genus 	543310
46123 	Abiotrophia 	genus 	186827
271159 	Nicoletella 	genus 	712
90964 	Staphylococcaceae 	family 	1385
1653 	Corynebacteriaceae 	family 	85007
263369 	Bacteriovoracaceae 	family 	213481
191494 	Conexibacter 	genus 	320583
904 	Acidaminococcus 	genus 	909930
32257 	Kingella 	genus 	481
283168 	Odoribacter 	genus 	171551
585890 	Chitiniphilus 	genus 	481
1762 	Mycobacteriaceae 	family 	85007
1160973 	Auritidibacter 	genus 	1268
246874 	Cryomorphaceae 	family 	200644
235899 	Nautiliales 	order 	29547
238749 	Diaphorobacter 	genus 	80864
53460 	Nakamurella 	genus 	85031
40323 	Stenotrophomonas 	genus 	32033
995019 	Sutterellaceae 	family 	80840
136 	Spirochaetales 	order 	203692
146 	Spirochaeta 	genus 	137
80865 	Delftia 	genus 	80864
360541 	Sporacetigenium 	genus 	186804
39948 	Dialister 	genus 	31977
183713 	Methanopyraceae 	family 	68985
85031 	Nakamurellaceae 	family 	85013
146805 	Phocoenobacter 	genus 	712
109324 	Pelospora 	genus 	68298
 	SR1_genera_incertae_sedis 	 	
475965 	Levilinea 	genus 	292628
1295327 	Croceicoccus 	genus 	335929
89966 	Hymenobacter 	genus 	89373
128827 	Erysipelotrichaceae 	family 	526525
200643 	Bacteroidia 	class 	976
204457 	Sphingomonadales 	order 	28211
2172 	Methanobrevibacter 	genus 	2159
482 	Neisseria 	genus 	481
294702 	Proteiniphilum 	genus 	171551
183924 	Crenarchaeota 	class 	28889
213118 	Desulfobacterales 	order 	28221
1378 	Gemella 	genus 	539738
843 	Wolinella 	genus 	72293
195950 	Tannerella 	genus 	171551
186828 	Carnobacteriaceae 	family 	186826
85034 	Glycomycetaceae 	family 	85014
246873 	Crocinitomix 	genus 	246874
346096 	Paludibacter 	genus 	171551
203490 	Fusobacteria 	class 	32066
35829 	Acetivibrio 	genus 	541000
200644 	Flavobacteriales 	order 	117743
1236 	Gammaproteobacteria 	class 	1224
35832 	Bilophila 	genus 	194924
1269 	Micrococcus 	genus 	1268
469 	Acinetobacter 	genus 	468
41297 	Sphingomonadaceae 	family 	204457
59732 	Chryseobacterium 	genus 	49546
34084 	Riemerella 	genus 	49546
963 	Herbaspirillum 	genus 	75682
265570 	Sulfurovum 	genus 	34035
526524 	Erysipelotrichia 	class 	1239
2056 	Sphaerobacter 	genus 	85002
119060 	Burkholderiaceae 	family 	80840
200666 	Sphingobacteriales 	order 	117747
71 	Simonsiella 	genus 	481
 	Clostridiales_Incertae Sedis XIII 	 	
2157 	Archaea 	superkingdom 	131567
402649 	Actinomycetospora 	genus 	2070
1645 	Renibacterium 	genus 	1268
596707 	Sinomonas 	genus 	1268
52225 	Mitsuokella 	genus 	31977
836 	Porphyromonas 	genus 	171551
970 	Selenomonas 	genus 	31977
1380 	Atopobium 	genus 	84107
 	Peptococcaceae 1 	 	
2701 	Gardnerella 	genus 	31953
697025 	Hoyosella 	genus 	697024
396388 	Aestuariimicrobium 	genus 	31957
264147 	Millisia 	genus 	85026
52228 	Hallella 	genus 	171552
1743 	Propionibacterium 	genus 	31957
41273 	Tissierella 	genus 	543310
85010 	Pseudonocardineae 	suborder 	2037
2158 	Methanobacteriales 	order 	183925
135622 	Alteromonadales 	order 	1236
551 	Erwinia 	genus 	543
240233 	Aeriscardovia 	genus 	31953
299568 	Uruburuella 	genus 	481
543 	Enterobacteriaceae 	family 	91347
544448 	Tenericutes 	phylum 	2
68298 	Syntrophomonadaceae 	family 	186802
