ReadID	SampleName	SampleID	ReadLength	ReadAvgQualScore
GSXD9VZ02HLRZX	10_D_B02_2010_12_17_2	10_D_B02	510	30
GSXD9VZ02JN3XC	10_D_B02_2010_12_17_2	10_D_B02	504	32
GSXD9VZ02HNYI5	10_D_B02_2010_12_17_2	10_D_B02	521	37
GSXD9VZ02HILEG	10_D_B02_2010_12_17_2	10_D_B02	493	37
GSXD9VZ02GUZ0C	10_D_B02_2010_12_17_2	10_D_B02	515	33
GSXD9VZ02GVE6L	10_D_B02_2010_12_17_2	10_D_B02	513	36
GSXD9VZ02GOZ64	10_D_B02_2010_12_17_2	10_D_B02	516	36
GSXD9VZ02IDOA0	10_D_B02_2010_12_17_2	10_D_B02	206	37
GSXD9VZ02JBTG0	10_D_B02_2010_12_17_2	10_D_B02	495	37
GSXD9VZ02I5K9W	10_D_B02_2010_12_17_2	10_D_B02	497	37
GSXD9VZ02GJ33W	10_D_B02_2010_12_17_2	10_D_B02	473	36
GSXD9VZ02GTR0C	10_D_B02_2010_12_17_2	10_D_B02	269	32
GSXD9VZ02G9M2R	10_D_B02_2010_12_17_2	10_D_B02	481	36
GSXD9VZ02F9R0E	10_D_B02_2010_12_17_2	10_D_B02	509	36
GSXD9VZ02G8BPP	10_D_B02_2010_12_17_2	10_D_B02	514	36
GSXD9VZ02FZK4W	10_D_B02_2010_12_17_2	10_D_B02	492	37
GSXD9VZ02HWH1E	10_D_B02_2010_12_17_2	10_D_B02	207	37
GSXD9VZ02IOKA1	10_D_B02_2010_12_17_2	10_D_B02	504	33
GSXD9VZ02JQ9X9	10_D_B02_2010_12_17_2	10_D_B02	285	35
GSXD9VZ02HD7WO	10_D_B02_2010_12_17_2	10_D_B02	499	36
GSXD9VZ02JFLSM	10_D_B02_2010_12_17_2	10_D_B02	481	33
GSXD9VZ02GBUZQ	10_D_B02_2010_12_17_2	10_D_B02	467	37
GSXD9VZ02IAIII	10_D_B02_2010_12_17_2	10_D_B02	235	30
