TaxID   	 GI 		 Start of Seq 		 End of Seq 		 Bin
23233		1		1		5		1
23233		1		6		10		2
23233		12		1		6		3
44444		100		1		5		1
44444		100		6		8		2
555555		200		1		2		1
111111		300		1		5		1
111111		300		6		10		2
111111		300		11		15		3
111111		300		16		18		4
222222		400		1		5		1
222222		400		6		10		2
222222		400		11		15		3
222222		400		16		20		4
222222		400		21		25		5
222222		400		26		30		6
222222		400		31		35		7
222222		400		36		40		8
222222		400		41		45		9
222222		400		46		50		10
222222		400		51		55		11
222222		400		56		60		12
222222		400		61		65		13
222222		400		66		70		14
222222		400		71		75		15
222222		400		76		80		16
222222		400		81		85		17
222222		400		86		90		18
222222		400		91		95		19
222222		400		96		100		20
222222		400		101		105		21
222222		400		106		110		22
222222		400		111		115		23
222222		400		116		120		24
222222		400		121		125		25
222222		400		126		130		26
222222		400		131		135		27
222222		400		136		140		28
222222		400		141		145		29
222222		400		146		150		30
222222		400		151		155		31
222222		400		156		160		32
222222		400		161		165		33
222222		400		166		170		34
222222		400		171		175		35
222222		400		176		180		36
222222		400		181		185		37
222222		400		186		190		38
222222		400		191		195		39
222222		400		196		200		40
222222		400		201		205		41
222222		400		206		210		42
222222		400		211		215		43
222222		400		216		220		44
222222		400		221		225		45
222222		400		226		230		46
222222		400		231		235		47
222222		400		236		240		48
222222		400		241		245		49
222222		400		246		250		50
222222		400		251		255		51
222222		400		256		260		52
222222		400		261		265		53
222222		400		266		270		54
222222		400		271		275		55
222222		400		276		280		56
222222		400		281		285		57
222222		400		286		290		58
222222		400		291		295		59
222222		400		296		300		60
222222		400		301		305		61
222222		400		306		310		62
222222		400		311		315		63
222222		400		316		320		64
222222		400		321		325		65
222222		400		326		330		66
222222		400		331		335		67
222222		400		336		340		68
222222		400		341		345		69
222222		400		346		350		70
222222		400		351		355		71
222222		400		356		360		72
222222		400		361		365		73
222222		400		366		370		74
222222		400		371		375		75
222222		400		376		380		76
222222		400		381		385		77
222222		400		386		390		78
222222		400		391		395		79
222222		400		396		400		80
222222		400		401		405		81
222222		400		406		410		82
222222		400		411		415		83
222222		400		416		420		84
